"id","line_no","original_line","mutated_line","source_filepath"
"bcel_63",583,"if (! ((stack().peek() instanceof ObjectType) || (stack().peek().equals(Type.NULL))) ) {","if (! ((stack().true) || (stack().peek().equals(Type.NULL))) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_64",583,"if (! ((stack().peek() instanceof ObjectType) || (stack().peek().equals(Type.NULL))) ) {","if (! ((stack().peek() instanceof ObjectType) || (false)) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_65",583,"if (! ((stack().peek() instanceof ObjectType) || (stack().peek().equals(Type.NULL))) ) {","if (! ((stack().peek() instanceof ObjectType) || (true)) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_66",584,"constraintViolated(o, ""The 'objectref' is not of an (initialized) ObjectType but of type ""+stack().peek()+""."");","constraintViolated(o, ""The 'objectref' is not of an (initialized) ObjectType but of type ""+stack().peek()+""."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_67",588,"if (stack().peek().equals(Type.NULL)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_68",588,"if (stack().peek().equals(Type.NULL)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_69",594,"if ( (! (exc.subclassOf(throwable)) ) && (! (exc.equals(throwable))) ) {","if ( (! (exc.subclassOf(throwable)) ) && (! (false)) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_70",594,"if ( (! (exc.subclassOf(throwable)) ) && (! (exc.equals(throwable))) ) {","if ( (! (exc.subclassOf(throwable)) ) && (! (true)) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_71",594,"if ( (! (exc.subclassOf(throwable)) ) && (! (exc.equals(throwable))) ) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_72",594,"if ( (! (exc.subclassOf(throwable)) ) && (! (exc.equals(throwable))) ) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_73",595,"constraintViolated(o,","constraintViolated(o,  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_74",611,"indexOfInt(o, index);","// removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_75",612,"if (arrayrefOfArrayType(o, arrayref)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_76",612,"if (arrayrefOfArrayType(o, arrayref)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_77",613,"if (! ( (((ArrayType) arrayref).getElementType().equals(Type.BOOLEAN)) ||","if (! ( (false) ||","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_78",613,"if (! ( (((ArrayType) arrayref).getElementType().equals(Type.BOOLEAN)) ||","if (! ( (true) ||","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_79",614,"(((ArrayType) arrayref).getElementType().equals(Type.BYTE)) ) ) {","(false) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_80",614,"(((ArrayType) arrayref).getElementType().equals(Type.BYTE)) ) ) {","(true) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_81",615,"constraintViolated(o,","constraintViolated(o,  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_82",631,"indexOfInt(o, index);","// removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_83",632,"valueOfInt(o, value);","// removed call to valueOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_84",633,"if (arrayrefOfArrayType(o, arrayref)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_85",633,"if (arrayrefOfArrayType(o, arrayref)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_86",634,"if (! ( (((ArrayType) arrayref).getElementType().equals(Type.BOOLEAN)) ||","if (! ( (false) ||","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_87",634,"if (! ( (((ArrayType) arrayref).getElementType().equals(Type.BOOLEAN)) ||","if (! ( (true) ||","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_88",635,"(((ArrayType) arrayref).getElementType().equals(Type.BYTE)) ) ) {","(false) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_89",635,"(((ArrayType) arrayref).getElementType().equals(Type.BYTE)) ) ) {","(true) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_90",636,"constraintViolated(o,","constraintViolated(o,  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_91",668,"indexOfInt(o, index);","// removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_92",681,"indexOfInt(o, index);","// removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_93",682,"valueOfInt(o, value);","// removed call to valueOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_94",683,"if (arrayrefOfArrayType(o, arrayref)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_95",683,"if (arrayrefOfArrayType(o, arrayref)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_96",684,"if (! ((ArrayType) arrayref).getElementType().equals(Type.CHAR) ) {","if (false ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_97",684,"if (! ((ArrayType) arrayref).getElementType().equals(Type.CHAR) ) {","if (true ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_98",685,"constraintViolated(o, ""The 'arrayref' does not refer to an array with elements of type char but to an array of type ""+","constraintViolated(o, ""The 'arrayref' does not refer to an array with elements of type char but to an array of type ""+  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_99",698,"if (!(objectref instanceof ReferenceType)) {","if (!(false)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_100",698,"if (!(objectref instanceof ReferenceType)) {","if (!(true)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_101",699,"constraintViolated(o, ""The 'objectref' is not of a ReferenceType but of type ""+objectref+""."");","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_102",708,"if (! (c instanceof ConstantClass)) {","if (! (false)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_103",708,"if (! (c instanceof ConstantClass)) {","if (! (true)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_104",709,"constraintViolated(o, ""The Constant at 'index' is not a ConstantClass, but '""+c+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_105",270,"if ((idx < 0) || (idx >= cpg.getSize())) {","if ((idx <= 0) || (idx >= cpg.getSize())) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_106",270,"if ((idx < 0) || (idx >= cpg.getSize())) {","if ((false) || (idx >= cpg.getSize())) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_107",270,"if ((idx < 0) || (idx >= cpg.getSize())) {","if ((true) || (idx >= cpg.getSize())) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_108",270,"if ((idx < 0) || (idx >= cpg.getSize())) {","if ((idx < 0) || (idx > cpg.getSize())) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_109",270,"if ((idx < 0) || (idx >= cpg.getSize())) {","if ((idx < 0) || (false)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_110",270,"if ((idx < 0) || (idx >= cpg.getSize())) {","if ((idx < 0) || (true)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_111",718,"if (stack().peek() != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_112",718,"if (stack().peek() != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_113",719,"constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_114",728,"if (stack().peek() != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_115",728,"if (stack().peek() != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_116",729,"constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_117",738,"if (stack().peek() != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_118",738,"if (stack().peek() != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_119",739,"constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_120",748,"if (stack().peek() != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_121",748,"if (stack().peek() != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_122",749,"constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_123",751,"if (stack().peek(1) != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_124",751,"if (stack().peek(1) != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_125",752,"constraintViolated(o, ""The value at the stack next-to-top is not of type 'double', but of type '""+stack().peek(1)+""'."");","constraintViolated(o, ""The value at the stack next-to-top is not of type 'double', but of type '""+stack().peek(1)+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_126",761,"indexOfInt(o, stack().peek());","indexOfInt(o, stack().peek());  // removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_127",762,"if (stack().peek(1) == Type.NULL) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_128",762,"if (stack().peek(1) == Type.NULL) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_129",765,"if (! (stack().peek(1) instanceof ArrayType)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_130",765,"if (! (stack().peek(1) instanceof ArrayType)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_131",766,"constraintViolated(o, ""Stack next-to-top must be of type double[] but is '""+stack().peek(1)+""'."");","constraintViolated(o, ""Stack next-to-top must be of type double[] but is '""+stack().peek(1)+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_132",769,"if (t != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_133",769,"if (t != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_134",770,"constraintViolated(o, ""Stack next-to-top must be of type double[] but is '""+stack().peek(1)+""'."");","constraintViolated(o, ""Stack next-to-top must be of type double[] but is '""+stack().peek(1)+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_135",779,"if (stack().peek() != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_136",779,"if (stack().peek() != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_137",780,"constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_138",782,"indexOfInt(o, stack().peek(1));","indexOfInt(o, stack().peek(1));  // removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_139",783,"if (stack().peek(2) == Type.NULL) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_140",783,"if (stack().peek(2) == Type.NULL) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_141",786,"if (! (stack().peek(2) instanceof ArrayType)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_142",786,"if (! (stack().peek(2) instanceof ArrayType)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_143",787,"constraintViolated(o, ""Stack next-to-next-to-top must be of type double[] but is '""+stack().peek(2)+""'."");","constraintViolated(o, ""Stack next-to-next-to-top must be of type double[] but is '""+stack().peek(2)+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_144",790,"if (t != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_145",790,"if (t != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_146",791,"constraintViolated(o, ""Stack next-to-next-to-top must be of type double[] but is '""+stack().peek(2)+""'."");","constraintViolated(o, ""Stack next-to-next-to-top must be of type double[] but is '""+stack().peek(2)+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_147",800,"if (stack().peek() != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_148",800,"if (stack().peek() != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_149",801,"constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_150",803,"if (stack().peek(1) != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_151",803,"if (stack().peek(1) != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_152",804,"constraintViolated(o, ""The value at the stack next-to-top is not of type 'double', but of type '""+stack().peek(1)+""'."");","constraintViolated(o, ""The value at the stack next-to-top is not of type 'double', but of type '""+stack().peek(1)+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_153",813,"if (stack().peek() != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_154",813,"if (stack().peek() != Type.DOUBLE) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_155",814,"constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The value at the stack top is not of type 'double', but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_156",816,"if (stack().peek(1) != Type.DOUBLE) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
